1.1646,0.0933,-0.1874,0.0420,-0.0357,-0.3467
1.0713,0.1339,-0.2014,0.0410,-0.0221,-0.3305
0.9785,0.1422,-0.1954,0.0378,-0.0085,-0.3089
0.8934,0.1097,-0.1700,0.0337,-0.0028,-0.2969
0.8194,0.1478,-0.1767,0.0333,0.0021,-0.2839
0.7558,0.2109,-0.1923,0.0344,0.0063,-0.2699
0.6984,0.1935,-0.1779,0.0299,0.0074,-0.2613
0.6459,0.1775,-0.1646,0.0257,0.0079,-0.2539
0.5987,0.2012,-0.1637,0.0236,0.0095,-0.2419
0.5538,0.1698,-0.1473,0.0192,0.0084,-0.2381
0.5139,0.1894,-0.1447,0.0175,0.0091,-0.2282
0.4756,0.1590,-0.1303,0.0136,0.0078,-0.2252
0.4416,0.1745,-0.1266,0.0123,0.0078,-0.2169
0.4089,0.1479,-0.1145,0.0091,0.0066,-0.2143
0.3798,0.1596,-0.1102,0.0081,0.0064,-0.2072
0.3518,0.1368,-0.1001,0.0055,0.0053,-0.2047
0.3266,0.1450,-0.0955,0.0048,0.0049,-0.1986
0.3026,0.1260,-0.0871,0.0028,0.0039,-0.1961
0.2809,0.1309,-0.0825,0.0022,0.0035,-0.1909
0.2603,0.1156,-0.0755,0.0006,0.0027,-0.1882
0.2415,0.1173,-0.0710,0.0002,0.0023,-0.1836
0.2238,0.1057,-0.0652,-0.0010,0.0017,-0.1808
0.2075,0.1044,-0.0609,-0.0014,0.0013,-0.1768
0.1923,0.0960,-0.0561,-0.0022,0.0008,-0.1738
0.1782,0.0910,-0.0520,-0.0026,0.0004,-0.1704
0.1651,0.0836,-0.0479,-0.0032,0.0001,-0.1674
0.1529,0.0769,-0.0441,-0.0036,-0.0002,-0.1645
0.1416,0.0706,-0.0406,-0.0039,-0.0005,-0.1615
0.1311,0.0649,-0.0374,-0.0042,-0.0008,-0.1585
0.1214,0.0596,-0.0344,-0.0043,-0.0010,-0.1556
0.1124,0.0548,-0.0317,-0.0043,-0.0011,-0.1526
0.1040,0.0504,-0.0292,-0.0043,-0.0013,-0.1497
0.0962,0.0463,-0.0268,-0.0043,-0.0014,-0.1467
0.0890,0.0425,-0.0247,-0.0041,-0.0015,-0.1437
0.0823,0.0391,-0.0227,-0.0040,-0.0016,-0.1407
